Alpha,SNP_A,SNP_B,SNP_C
0.502842,N2,N10,N20
0.502842,N21,N22,M1T2
0.502842,N19,N30,M1T3
0.502842,N12,N37,M2Q3
0.502842,N11,N23,M2Q3
0.502841,N5,N18,N36
0.502841,N3,N10,N11
0.502841,N28,M2Q2,M2Q4
0.502841,N26,N38,M2Q3
0.502841,N20,N24,M2Q2
0.502841,N11,N23,M1T2
0.502840,N8,N17,N38
0.502840,N7,N27,M1T1
0.502840,N7,N10,N32
0.502840,N35,N38,N40
0.502840,N2,M1T2,M2Q4
0.502840,N26,N32,M2Q3
0.502840,N22,N28,M1T3
0.502840,N21,N39,M0P1
0.502840,N11,N24,N35
0.502840,N10,N33,M0P2
0.502839,N7,N26,N30
0.502839,N7,N13,N17
0.502839,N5,N20,N34
0.502839,N36,M2Q2,M2Q4
0.502839,N19,N24,M0P2
0.502839,N12,N34,N40
0.502838,N9,N15,N37
0.502838,N8,N13,N18
0.502838,N4,N35,N38
0.502838,N28,N38,M2Q2
0.502838,N24,N37,N39
0.502838,N22,N27,M1T2
0.502838,N21,N28,N33
0.502837,N7,N27,N34
0.502837,N7,N23,N40
0.502837,N4,N36,N38
0.502837,N4,N30,N31
0.502837,N40,M0P1,M1T3
0.502837,N3,N7,N14
0.502837,N3,N5,N7
0.502837,N3,N21,N31
0.502837,N26,N37,M0P2
0.502837,N24,N29,M2Q1
0.502837,N17,N20,M0P2
0.502837,N16,N18,N24
0.502836,N5,N26,M0P1
0.502836,N5,N18,M2Q2
0.502836,N4,N19,N39
0.502836,N3,N4,N6
0.502836,N34,N38,N39
0.502836,N20,N30,N39
0.502836,N16,N33,N40
0.502836,N16,N18,N32
0.502836,N13,N27,N29
0.502836,N11,N26,M0P1
0.502836,N11,N16,N20
0.502835,N9,N13,M2Q2
0.502835,N6,N27,M2Q2
0.502835,N5,N39,M2Q1
0.502835,N5,N33,M2Q2
0.502835,N30,N34,M0P1
0.502835,N2,N8,M0P2
0.502835,N2,N5,N26
0.502835,N14,N31,N35
0.502835,N13,N36,N38
0.502835,N11,N25,M2Q4
0.502834,N8,N29,N40
0.502834,N5,N8,N18
0.502834,N4,N33,M0P1
0.502834,N23,N31,N35
0.502834,N17,N18,N25
0.502834,N15,N17,M2Q3
0.502834,N10,N28,N37
0.502834,N10,N11,M2Q4
0.502834,N10,M1T1,M2Q1
0.502833,N9,N19,M2Q1
0.502833,N26,N40,M0P1
0.502833,N24,N35,M0P1
0.502833,N13,N23,M2Q3
0.502833,N11,N26,M1T1
0.502832,N9,N38,N39
0.502832,N2,N14,N18
0.502832,N23,N29,M0P2
0.502832,N23,M1T3,M2Q2
0.502832,N10,N38,M2Q2
0.502831,N9,N33,N35
0.502831,N7,N14,N28
0.502831,N4,N15,N24
0.502831,N15,N22,M2Q3
0.502831,N15,N21,N37
0.502831,N14,N22,M0P2
0.502831,N14,N18,N32
0.502830,N5,N7,N27
0.502830,N2,N36,M0P1
0.502830,N27,N40,M2Q1
0.502830,N26,N27,M0P2
0.502830,N24,N26,N35
0.502829,N8,N13,N19
0.502829,N7,M0P2,M1T1
0.502828,N8,N13,M0P2
0.502828,N29,N34,M2Q4
0.502828,N23,N29,N31
0.502828,N19,N23,N29
0.502828,N15,N24,M2Q2
0.502828,N13,N29,M1T2
0.502828,N10,N39,M2Q1
0.502827,N8,N28,N29
0.502827,N8,N20,M2Q4
0.502827,N6,N19,N34
0.502827,N2,N3,M0P1
0.502827,N27,N32,N37
0.502827,N26,M1T1,M2Q4
0.502827,N25,N31,N39
0.502827,N25,N30,M2Q4
0.502827,N24,N29,N30
0.502827,N22,N23,M2Q1
0.502827,N21,N26,N34
0.502827,N20,N27,N32
0.502827,N14,M0P2,M2Q3
0.502827,N12,N24,M2Q2
0.502827,N10,N30,N36
0.502827,N10,N20,M0P1
0.502827,N10,N17,M2Q3
0.502826,N33,N34,N38
0.502826,N11,N39,M1T2
0.502826,N11,N19,N29
0.502826,N10,N33,M0P1
0.502825,N9,N22,N35
0.502825,N7,N16,N29
0.502825,N3,N19,N20
0.502825,N3,N13,N23
0.502825,N2,N34,N37
0.502825,N23,N27,M0P2
0.502825,N21,N34,M2Q1
0.502825,N20,N37,M2Q3
0.502825,N17,M0P2,M2Q2
0.502825,N16,N40,M0P1
0.502825,N13,N34,N35
0.502825,N13,N26,M1T3
0.502825,N10,N36,M0P2
0.502824,N7,N30,N37
0.502824,N4,N33,N34
0.502824,N15,N29,M0P2
0.502824,N13,N34,M0P2
0.502823,N9,N20,M0P1
0.502823,N9,N11,N29
0.502823,N5,N32,N34
0.502823,N5,N24,N34
0.502823,N5,N10,N18
0.502823,N4,N28,M1T3
0.502823,N2,N5,N20
0.502823,N2,N22,N23
0.502823,N25,N34,M2Q4
0.502823,N25,N27,M2Q1
0.502823,N19,N37,M2Q4
0.502823,N17,M1T3,M2Q1
0.502823,N16,N37,M2Q4
0.502823,N16,N24,M2Q2
0.502823,N14,N29,N35
0.502823,N13,N26,M0P1
0.502823,N12,N14,N33
0.502823,N11,M1T2,M2Q3
0.502823,N10,N20,M0P2
0.502822,N9,N24,N38
0.502822,N8,N28,M1T3
0.502822,N7,N17,N22
0.502822,N5,N11,N17
0.502822,N32,N38,N39
0.502822,N29,N33,M1T2
0.502822,N20,N28,N35
0.502822,N18,N23,M2Q1
0.502822,N15,N35,M1T1
0.502822,N15,N16,M2Q4
0.502821,N6,N36,M2Q2
0.502821,N2,N4,M2Q1
0.502821,N21,N27,M2Q2
0.502821,N14,N16,N31
0.502820,N5,N11,N20
0.502820,N4,N22,N25
0.502820,N4,N19,N20
0.502820,N37,M2Q3,M2Q4
0.502820,N2,N26,M0P2
0.502820,N22,N35,N38
0.502820,N18,N28,N32
0.502820,N17,N18,M2Q1
0.502820,N14,N22,N37
0.502820,N14,N20,N34
0.502820,N12,N22,N36
0.502820,N12,M2Q2,M2Q3
0.502820,N10,N31,M1T2
0.502819,N9,N11,M0P2
0.502819,N3,N40,M2Q2
0.502819,N19,N20,M2Q2
0.502818,N9,N16,N32
0.502818,N8,N10,N22
0.502818,N7,N12,N26
0.502818,N6,N17,M0P1
0.502818,N5,N39,M1T2
0.502818,N3,M1T1,M2Q2
0.502818,N2,N40,M2Q4
0.502818,N2,N39,M2Q3
0.502818,N26,N28,N39
0.502818,N12,N27,N36
0.502818,N11,N35,M2Q2
0.502817,N6,N37,M2Q3
0.502817,N5,N13,M1T3
0.502817,N3,N33,M2Q1
0.502817,N23,N39,M2Q3
0.502817,N10,N33,N38
0.502816,N9,N14,N39
0.502816,N3,N16,N39
0.502816,N30,N35,M2Q1
0.502816,N28,N35,N37
0.502816,N23,N34,N38
0.502816,N22,N35,N36
0.502816,N15,N18,N38
0.502816,N13,N38,M2Q2
0.502815,N9,N23,M2Q3
0.502815,N8,N36,M2Q3
0.502815,N7,N12,N29
0.502815,N3,N31,N32
0.502815,N3,N19,N34
0.502815,N2,N7,N26
0.502815,N2,N15,M0P1
0.502815,N19,N24,N39
0.502815,N15,N33,N40
0.502815,N14,N17,N18
0.502815,N11,N16,N17
0.502814,N6,N20,N37
0.502814,N4,N7,N25
0.502814,N4,N6,M2Q3
0.502814,N2,N17,M1T1
0.502814,N26,N28,N29
0.502814,N22,M1T1,M2Q1
0.502814,N13,N24,N29
0.502814,N12,N36,M2Q2
0.502814,N11,N12,N23
0.502814,N10,N23,M2Q4
0.502813,N7,N8,N37
0.502813,N7,N34,N39
0.502813,N7,N10,N16
0.502813,N6,N20,N38
0.502813,N4,N5,N39
0.502813,N33,N40,M2Q2
0.502813,N22,N25,M2Q1
0.502813,N19,N35,M2Q4
0.502813,N17,N29,N31
0.502813,N16,N36,M0P2
0.502813,N13,N19,N39
0.502812,N9,N29,M0P2
0.502812,N4,N5,N26
0.502812,N4,N32,N39
0.502812,N23,N39,M2Q1
0.502812,N11,N17,N39
0.502811,N8,N33,N35
0.502811,N3,N30,N36
0.502811,N19,N22,N33
0.502811,N18,N21,N38
0.502811,N14,N23,M2Q2
0.502811,N11,M0P2,M2Q2
0.502810,N7,N9,N33
0.502810,N38,N39,M2Q1
0.502810,N25,M1T3,M2Q1
0.502810,N24,N33,N38
0.502810,N21,M1T3,M2Q4
0.502810,N18,N39,N40
0.502810,N12,N34,M1T2
0.502810,N10,N14,M1T2
0.502809,N9,N36,N39
0.502809,N2,N9,N37
0.502809,N28,N39,N40
0.502809,N27,N33,M0P1
0.502809,N25,N36,M1T2
0.502809,N20,N29,M1T2
0.502809,N17,N34,N35
0.502809,N17,N20,M1T1
0.502809,N16,N29,N37
0.502809,N15,N20,N37
0.502809,N13,N21,M2Q4
0.502809,N13,N19,N34
0.502809,N12,N14,N37
0.502809,N11,N16,N28
0.502808,N9,N28,M1T3
0.502808,N4,N9,N20
0.502808,N26,N27,N39
0.502808,N24,N34,M0P1
0.502808,N20,N37,M1T2
0.502808,N20,N26,N37
0.502808,N14,N24,M1T1
0.502808,N13,N36,N39
0.502808,N13,M0P2,M1T2
0.502807,N7,N17,N19
0.502807,N6,N22,N33
0.502807,N6,N13,M2Q1
0.502807,N5,N7,N37
0.502807,N31,N35,N39
0.502807,N2,N25,N31
0.502807,N2,N24,N26
0.502807,N26,N39,M2Q4
0.502807,N23,N24,N31
0.502807,N16,N25,N31
0.502807,N13,N29,N36
0.502807,N11,N25,M1T1
0.502807,N10,M1T1,M1T2
0.502806,N9,N21,N37
0.502806,N8,N19,N20
0.502806,N6,N25,N39
0.502806,N4,N5,M0P2
0.502806,N3,N9,N35
0.502806,N3,N5,M2Q2
0.502806,N27,M1T1,M2Q3
0.502806,N25,N29,N31
0.502806,N15,N24,N39
0.502805,N8,N22,M1T3
0.502805,N6,N13,M1T1
0.502805,N6,N10,N19
0.502805,N5,N26,N34
0.502805,N4,N6,N9
0.502805,N35,N37,N39
0.502805,N26,N30,N35
0.502805,N20,N39,M1T1
0.502805,N17,N38,M2Q1
0.502805,N16,N35,M2Q4
0.502805,N13,N26,M1T2
0.502804,N4,N34,M2Q1
0.502804,N4,N19,M2Q4
0.502804,N3,N4,N23
0.502804,N2,N15,N40
0.502804,N25,N39,M2Q1
0.502804,N23,N25,M1T3
0.502804,N20,N33,M1T1
0.502804,N20,N27,N33
0.502804,N16,N26,N30
0.502803,N9,N19,N36
0.502803,N6,N16,N26
0.502803,N5,N36,M2Q1
0.502803,N17,N31,N35
0.502802,N9,N40,M1T2
0.502802,N9,N38,N40
0.502802,N7,N34,M1T2
0.502802,N5,N9,N38
0.502802,N4,N22,N27
0.502802,N3,N23,M0P1
0.502802,N30,N31,M1T1
0.502802,N27,N28,M1T3
0.502802,N27,M1T1,M2Q4
0.502802,N21,N23,N39
0.502802,N15,N19,M2Q4
0.502801,N5,N32,N35
0.502801,N2,N5,N9
0.502801,N28,N33,M2Q4
0.502801,N20,N31,N40
0.502801,N13,N21,M2Q1
0.502801,N10,N35,N38
0.502801,N10,N21,M1T1
0.502800,N4,N34,N40
0.502800,N3,N20,N33
0.502800,N30,N40,M2Q2
0.502800,N16,N17,M0P1
0.502800,N12,N26,N36
0.502800,N10,N16,N17
0.502799,N4,N28,N31
0.502799,N38,M1T1,M2Q1
0.502799,N38,M0P2,M1T1
0.502799,N21,N29,M2Q3
0.502799,N18,N32,M2Q4
0.502799,N17,N30,M1T2
0.502799,N15,N34,M2Q3
0.502799,N10,N12,M1T2
0.502798,N4,N26,M2Q2
0.502798,N28,M1T1,M2Q2
0.502798,N25,N32,N36
0.502798,N11,N18,N23
0.502797,N8,N36,M0P2
0.502797,N4,N24,M2Q2
0.502797,N26,N36,M0P1
0.502797,N23,N33,N36
0.502797,N16,N32,N36
0.502797,N15,N40,M0P2
0.502797,N11,N15,N16
0.502796,N9,N11,N21
0.502796,N5,N10,M0P1
0.502796,N28,N32,M2Q3
0.502796,N25,N31,N36
0.502796,N25,N30,N39
0.502796,N22,N33,M2Q2
0.502796,N21,N38,M1T3
0.502796,N17,N39,M2Q4
0.502796,N14,N20,N38
0.502795,N9,N13,N26
0.502795,N25,M2Q1,M2Q4
0.502795,N19,N36,M1T2
0.502795,N18,N26,N40
0.502795,N18,N23,N39
0.502795,N14,N22,N28
0.502794,N5,N15,N34
0.502794,N4,N5,N12
0.502794,N34,M0P1,M2Q4
0.502794,N28,M1T3,M2Q2
0.502794,N16,M0P2,M2Q4
0.502794,N15,N18,N27
0.502794,N11,N35,M1T1
0.502794,N11,N25,M0P2
0.502794,N10,N32,M2Q2
0.502793,N9,N28,N39
0.502793,N9,N18,N25
0.502793,N6,N35,N39
0.502793,N5,N11,N12
0.502793,N35,N38,M1T1
0.502793,N33,N35,M2Q3
0.502793,N21,N30,N31
0.502793,N16,N19,N20
0.502793,N15,N22,M0P2
0.502793,N14,N19,M0P1
0.502793,N13,N25,N29
0.502793,N11,N28,N34
0.502793,N10,N16,N37
0.502792,N7,N39,N40
0.502792,N5,N24,N33
0.502792,N4,N25,M0P2
0.502792,N3,N19,N29
0.502792,N25,N38,M1T3
0.502792,N22,N24,N30
0.502792,N21,N36,N40
0.502792,N12,N17,N29
0.502792,N11,N15,N24
0.502791,N7,N25,M0P1
0.502791,N6,N34,N35
0.502791,N2,N5,N13
0.502791,N28,N29,N36
0.502791,N25,N39,M1T1
0.502791,N22,N39,N40
0.502791,N18,N19,N27
0.502791,N14,M0P1,M2Q3
0.502791,N12,N16,N35
0.502791,N10,N38,M2Q4
0.502791,N10,N26,N28
0.502790,N3,M0P2,M2Q2
0.502790,N22,N25,M1T2
0.502790,N20,N33,M1T2
0.502790,N10,N35,M0P2
0.502789,N9,N35,M2Q2
0.502789,N9,N10,M2Q4
0.502789,N8,N26,N39
0.502789,N6,N30,N34
0.502789,N3,N27,N31
0.502788,N6,N15,N22
0.502788,N4,N24,M2Q3
0.502788,N3,N6,N37
0.502788,N17,N36,N39
0.502788,N13,N27,M2Q1
0.502788,N12,N19,N38
0.502788,N10,N38,M1T1
0.502788,N10,N33,M2Q2
0.502787,N9,N26,N38
0.502787,N7,N21,N29
0.502787,N7,N11,N33
0.502787,N6,N40,M2Q4
0.502787,N5,N22,N33
0.502787,N5,N18,N29
0.502787,N33,N34,M2Q1
0.502787,N2,N36,N39
0.502787,N21,M1T1,M2Q4
0.502787,N16,N36,M0P1
0.502787,N14,N30,M1T3
0.502786,N3,N15,M0P1
0.502786,N2,N11,N13
0.502786,N17,N18,N37
0.502786,N16,N39,M1T3
0.502786,N11,N26,N38
0.502786,N10,N34,M1T2
0.502785,N5,N34,M2Q1
0.502785,N21,M2Q3,M2Q4
0.502785,N18,N21,N28
0.502785,N16,N29,M2Q2
0.502784,N8,N26,N34
0.502784,N5,N20,M1T2
0.502784,N3,N12,N27
0.502784,N20,N31,N39
0.502783,N33,N39,M2Q1
0.502783,N32,N33,N40
0.502783,N27,N40,M2Q4
0.502783,N20,N36,M2Q3
0.502783,N17,N22,M0P2
0.502783,N15,N22,M2Q2
0.502783,N14,N26,N34
0.502783,N13,N14,M0P2
0.502783,N12,N28,M2Q3
0.502783,N11,N24,N40
0.502782,N7,N37,M1T2
0.502782,N3,N34,M2Q1
0.502782,N37,N38,M0P2
0.502782,N29,M0P2,M1T2
0.502782,N24,N35,M0P2
0.502782,N24,N33,N40
0.502782,N16,N22,N24
0.502782,N14,N19,M2Q4
0.502782,N12,N35,M2Q1
0.502781,N27,N40,M2Q3
0.502781,N27,N35,M0P2
0.502781,N26,N31,N40
0.502781,N22,N30,N33
0.502781,N19,N20,N21
0.502781,N17,M0P1,M2Q3
0.502781,N11,N20,M2Q4
0.502780,N7,N40,M1T1
0.502780,N4,N6,M0P1
0.502780,N4,N19,M2Q1
0.502780,N4,N16,N20
0.502780,N4,N14,M0P1
0.502780,N28,N32,M1T3
0.502780,N23,N33,N37
0.502780,N17,N18,M0P1
0.502780,N13,N32,N36
0.502780,N11,N16,N32
0.502779,N8,N24,N35
0.502779,N35,N36,M0P1
0.502779,N2,N26,M1T2
0.502779,N27,N28,N39
0.502779,N17,N28,N38
0.502779,N16,N24,N33
0.502779,N15,N30,M2Q1
0.502779,N13,N24,N30
0.502779,N12,N15,N18
0.502779,N10,N31,N33
0.502778,N6,N15,N37
0.502778,N4,N5,N17
0.502778,N3,N21,N22
0.502778,N2,N36,N38
0.502778,N17,N34,M0P2
0.502778,N15,N27,M1T2
0.502778,N11,N13,M2Q3
0.502778,N10,N17,N29
0.502777,N7,N9,N37
0.502777,N7,N10,N38
0.502777,N5,N27,M2Q1
0.502777,N4,N11,N39
0.502777,N3,N34,N38
0.502777,N3,N10,N27
0.502777,N12,N18,N33
0.502776,N8,N34,M2Q1
0.502776,N5,N27,N35
0.502776,N4,N8,N15
0.502776,N3,N11,N12
0.502776,N24,N40,M0P2
0.502776,N21,N24,N31
0.502776,N14,N34,M1T2
0.502776,N13,N37,M2Q3
0.502776,N13,N22,N38
0.502775,N9,N11,N34
0.502775,N7,N8,N25
0.502775,N31,N35,N40
0.502775,N29,N33,N35
0.502775,N28,N32,M1T1
0.502775,N26,N28,N36
0.502775,N22,N32,N38
0.502775,N19,N24,M2Q4
0.502775,N19,M2Q2,M2Q3
0.502775,N16,N35,M2Q2
0.502774,N9,N12,N17
0.502774,N4,N13,N15
0.502774,N36,N37,N38
0.502774,N2,N19,N29
0.502774,N29,N38,M2Q2
0.502774,N28,N36,M2Q1
0.502774,N24,N34,M1T1
0.502774,N24,N30,N37
0.502774,N22,N33,M1T1
0.502774,N22,N23,N31
0.502774,N18,N39,M2Q2
0.502774,N13,N27,N34
0.502774,N13,N23,N31
0.502773,N4,N13,N36
0.502773,N37,M1T1,M1T2
0.502773,N29,N33,N38
0.502773,N21,N36,M1T1
0.502773,N20,N23,N36
0.502773,N15,N37,N40
0.502772,N6,N13,N36
0.502772,N4,N21,M2Q1
0.502772,N3,N11,M0P2
0.502772,N30,N38,M2Q4
0.502772,N2,N23,N39
0.502772,N22,M1T1,M2Q2
0.502772,N21,N33,M2Q3
0.502772,N17,N19,N24
0.502772,N15,M0P2,M2Q1
0.502772,N11,N28,N32
0.502772,N11,N25,M2Q1
0.502772,N11,M0P2,M1T2
0.502772,N10,N27,N30
0.502771,N7,N8,M1T1
0.502771,N6,N10,M2Q1
0.502771,N3,N8,N33
0.502771,N2,N9,N20
0.502771,N2,N13,M2Q3
0.502771,N2,N10,N26
0.502771,N29,N34,M2Q1
0.502771,N16,N31,M1T1
0.502771,N14,N19,M1T3
0.502771,N13,N22,M2Q2
0.502771,N10,N23,M2Q2
0.502770,N8,N26,N31
0.502770,N6,N9,N26
0.502770,N5,N23,N26
0.502770,N2,N14,M1T2
0.502770,N21,N31,M1T2
0.502770,N10,N30,N35
0.502769,N9,N14,M2Q2
0.502769,N2,N8,M2Q4
0.502769,N25,N37,N39
0.502769,N25,N30,M1T3
0.502769,N23,N37,M1T3
0.502769,N19,M0P1,M2Q3
0.502769,N15,N19,M2Q3
0.502769,N15,N18,N29
0.502769,N12,N32,M2Q1
0.502769,N10,N35,M1T1
0.502769,N10,N12,N37
0.502768,N8,N16,M2Q2
0.502768,N6,N9,N34
0.502768,N6,N30,M1T1
0.502768,N5,N8,N39
0.502768,N4,N31,N40
0.502768,N4,N31,N32
0.502768,N4,N20,N36
0.502768,N3,N16,N37
0.502768,N2,N3,N37
0.502768,N29,N36,N38
0.502768,N21,N32,N36
0.502768,N16,N17,M1T1
0.502767,N5,N30,N37
0.502767,N5,N20,N36
0.502767,N3,N7,N16
0.502767,N34,N35,M2Q1
0.502766,N9,N18,N37
0.502766,N8,N14,N22
0.502766,N7,N11,N14
0.502766,N4,N15,N26
0.502766,N4,N13,N29
0.502766,N3,N22,N33
0.502766,N39,M1T1,M2Q3
0.502766,N2,N22,N40
0.502766,N2,N22,N37
0.502766,N19,N31,N33
0.502766,N10,N19,N38
0.502765,N8,N9,N10
0.502765,N2,N18,N38
0.502765,N17,N29,N36
0.502765,N12,M2Q1,M2Q2
0.502765,N11,M0P1,M2Q2
0.502764,N8,N17,N28
0.502764,N6,N29,N37
0.502764,N5,N32,M2Q2
0.502764,N27,M0P1,M1T3
0.502764,N11,N20,N21
0.502763,N6,N20,N27
0.502763,N5,N9,N36
0.502763,N5,N27,N33
0.502763,N4,N33,M1T2
0.502763,N34,N36,M2Q1
0.502763,N2,N25,M0P1
0.502763,N27,N29,M2Q2
0.502763,N11,N25,N29
0.502762,N7,N28,M1T1
0.502762,N7,N26,N29
0.502762,N5,N32,N39
0.502762,N2,N40,M0P2
0.502762,N2,N31,N39
0.502762,N2,N29,N30
0.502762,N17,N26,M0P2
0.502762,N11,N34,N38
0.502761,N3,N11,N34
0.502761,N24,N25,M2Q2
0.502761,N20,N27,M0P2
0.502760,N9,N39,M2Q3
0.502760,N4,N35,N39
0.502760,N4,N27,M1T1
0.502760,N4,N22,M2Q1
0.502760,N3,N32,N37
0.502760,N24,N33,M1T2
0.502760,N23,N36,M0P1
0.502760,N10,N18,N21
0.502759,N34,N37,M0P2
0.502759,N25,N31,N38
0.502759,N21,N33,N34
0.502759,N20,N21,M1T3
0.502759,N14,N17,N36
0.502758,N9,N29,M2Q1
0.502758,N8,N27,N35
0.502758,N5,N18,M0P1
0.502758,N34,M1T1,M2Q3
0.502758,N32,M0P1,M2Q3
0.502758,N23,N29,M0P1
0.502758,N15,N32,N34
0.502758,N12,N27,N35
0.502757,N9,N31,M0P2
0.502757,N9,N17,M0P1
0.502757,N8,N35,M1T3
0.502757,N5,N20,N33
0.502757,N3,N12,N34
0.502757,N24,N28,M2Q1
0.502757,M1T2,M2Q1,M2Q4
0.502756,N7,N27,N28
0.502756,N3,N34,M1T1
0.502756,N33,N37,M1T1
0.502756,N32,N40,M2Q4
0.502756,N28,N37,M2Q4
0.502756,N20,M1T2,M2Q4
0.502756,N19,N26,N39
0.502755,N9,N39,M2Q1
0.502755,N9,N27,N31
0.502755,N3,N34,N36
0.502755,N3,N12,N25
0.502755,N32,N34,M2Q4
0.502755,N2,N3,N40
0.502755,N18,M2Q1,M2Q4
0.502755,N15,N16,N18
0.502755,N10,N23,M1T3
0.502755,N10,N20,M2Q4
0.502755,N10,N11,N29
0.502754,N7,N27,N39
0.502754,N5,N7,N24
0.502754,N5,N6,N20
0.502754,N2,N27,N28
0.502754,N2,N14,N20
0.502754,N23,N36,N39
0.502754,N17,N23,M2Q3
0.502754,N17,N20,M0P1
0.502754,N10,N34,M1T1
0.502753,N9,N23,N30
0.502753,N9,N11,M2Q4
0.502753,N6,N15,N40
0.502753,N4,N32,N38
0.502753,N4,N32,M1T3
0.502753,N35,N37,M2Q2
0.502753,N33,M0P1,M1T1
0.502753,N2,N30,N31
0.502753,N2,N23,N33
0.502753,N26,N27,N28
0.502753,N21,N22,N34
0.502753,N17,N28,N39
0.502753,N17,N27,M2Q2
0.502753,N14,N23,N31
0.502753,N10,N17,M1T1
0.502752,N9,N22,N31
0.502752,N8,N23,N39
0.502752,N7,N27,N32
0.502752,N7,N12,N17
0.502752,N6,N28,M0P1
0.502752,N6,N23,N34
0.502752,N6,N19,M2Q1
0.502752,N5,N34,N35
0.502752,N25,N38,M2Q1
0.502752,N24,N37,M2Q3
0.502752,N16,N23,N30
0.502751,N5,N40,M2Q2
0.502751,N22,N28,N33
0.502751,N14,N30,N31
0.502751,N13,N34,M2Q4
0.502751,N11,N39,N40
0.502751,N10,N34,N35
0.502750,N8,N17,N33
0.502750,N8,N15,M0P2
0.502750,N2,N7,N37
0.502750,N22,N27,N29
0.502750,N13,N19,N35
0.502750,N12,N16,N31
0.502750,N10,N18,N40
0.502749,N8,N29,N32
0.502749,N5,N20,N32
0.502749,N4,N17,N35
0.502749,N3,N35,N39
0.502749,N35,M2Q1,M2Q4
0.502749,N22,N24,N25
0.502749,N18,N19,N34
0.502749,N17,N37,M2Q2
0.502749,N17,N33,M2Q1
0.502749,N16,N19,M1T1
0.502749,N10,N32,M1T1
0.502749,N10,N30,N32
0.502748,N7,N8,N15
0.502748,N5,N23,N31
0.502748,N40,M0P2,M2Q1
0.502748,N2,N29,N37
0.502748,N20,N32,N39
0.502748,N17,N31,N32
0.502748,N10,N29,N39
0.502747,N8,N32,M2Q2
0.502747,N5,N7,N34
0.502747,N3,N9,N16
0.502747,N3,N20,N24
0.502747,N3,N12,N30
0.502747,N33,M0P1,M2Q2
0.502747,N2,N4,N6
0.502747,N27,N33,N40
0.502747,N10,N26,M1T2
0.502746,N8,N29,M2Q3
0.502746,N7,N16,N32
0.502746,N5,N29,M0P1
0.502746,N4,N8,M2Q4
0.502746,N3,N27,N39
0.502746,N33,M1T1,M2Q4
0.502746,N28,N37,M1T1
0.502746,N15,N23,N30
0.502746,N13,N40,M2Q2
0.502746,N13,N14,N21
0.502746,N12,N37,N38
0.502745,N9,N40,M2Q3
0.502745,N9,N17,M1T1
0.502745,N6,N9,N32
0.502745,N5,N7,M1T2
0.502745,N27,N30,N35
0.502745,N10,N22,N40
0.502744,N8,N35,M2Q3
0.502744,N32,N35,N39
0.502744,N30,N35,N40
0.502744,N25,N27,M2Q4
0.502744,N20,N26,N27
0.502744,N19,N24,M2Q2
0.502744,N13,N19,N26
0.502743,N29,N34,N35
0.502743,N22,N29,N38
0.502743,N14,N15,N36
0.502743,N12,N25,M2Q4
0.502743,N12,N19,N32
0.502742,N3,N13,M2Q3
0.502742,N14,N37,N39
0.502741,N9,N30,M1T3
0.502741,N5,N6,N7
0.502741,N4,N22,N32
0.502741,N4,N20,M1T1
0.502741,N3,N5,N20
0.502741,N3,N10,N38
0.502741,N35,N40,M2Q2
0.502741,N29,N30,M1T3
0.502741,N27,N30,N37
0.502741,N21,N30,M2Q1
0.502741,N20,N32,N38
0.502741,N18,N34,N39
0.502741,N17,N26,M0P1
0.502741,N16,N27,N37
0.502741,N14,N37,M2Q3
0.502741,N13,N23,N40
0.502741,N12,N14,N40
0.502741,N11,N12,N15
0.502740,N4,N39,M2Q2
0.502740,N2,N10,N39
0.502740,N13,N23,N35
0.502740,N10,N22,N32
0.502739,N9,N26,M1T1
0.502739,N7,N8,N27
0.502739,N6,N13,N26
0.502739,N33,N34,M2Q3
0.502739,N2,N39,N40
0.502739,N24,N28,N34
0.502739,N11,N16,N26
0.502739,N10,N15,M2Q1
0.502738,N6,N28,M2Q3
0.502738,N4,N27,N30
0.502738,N40,M0P2,M1T2
0.502738,N3,N38,M1T2
0.502738,N19,N24,M1T1
0.502738,N13,N24,M2Q3
0.502738,N12,N13,N34
0.502738,N10,N28,N36
0.502737,N9,N21,N23
0.502737,N9,N15,N28
0.502737,N7,N10,N14
0.502737,N4,N38,M1T3
0.502737,N4,N23,M1T1
0.502737,N3,N5,N23
0.502737,N29,N33,N34
0.502737,N26,N27,N34
0.502737,N22,N32,M2Q1
0.502737,N20,N25,N39
0.502736,N9,N23,N32
0.502736,N9,M0P1,M2Q1
0.502736,N8,N32,M1T1
0.502736,N6,N12,M1T3
0.502736,N5,N31,M1T2
0.502736,N2,N10,M2Q2
0.502736,N13,N34,M2Q3
0.502736,N10,N36,N39
0.502736,N10,N26,N30
0.502735,N8,N23,N31
0.502735,N8,N16,M0P2
0.502735,N35,N36,M0P2
0.502735,N2,N25,N35
0.502735,N28,N30,M0P2
0.502735,N19,N27,N29
0.502735,N17,N18,N26
0.502735,N15,N23,M2Q3
0.502735,N15,M0P2,M2Q4
0.502734,N6,N19,N33
0.502734,N4,N11,M0P2
0.502734,N2,N13,N35
0.502734,N18,N23,M2Q2
0.502733,N9,M2Q1,M2Q4
0.502733,N8,N38,M2Q3
0.502733,N8,N15,N39
0.502733,N4,N9,M0P2
0.502733,N4,N11,N40
0.502733,N3,N9,N34
0.502733,N38,M2Q2,M2Q4
0.502733,N22,N39,M1T1
0.502733,N19,N22,N31
0.502733,N17,N34,N39
0.502733,N16,N27,N34
